ID;Variedad;Perdida_Peso;L;a;b;IC;Tono;Croma
V1R1;Swordfish;88.52985716;32.79055556;-5.827222222;7.440555556;-23.88402086;-51.93288564;9.450840481
V1R2;Swordfish;89.89040387;33.37555556;-7.05;9.180555556;-23.00867716;-52.47823182;11.57519332
V1R3;Swordfish;89.01120249;33.53277778;-6.265555556;8.441666667;-22.13409935;-53.41641156;10.51279804
V2R1;Turaco;85.84623662;39.71166667;-10.24722222;14.33666667;-17.9986467;-54.44434685;17.62230332
V2R2;Turaco;85.49691134;42.275;-12.11611111;18.09444444;-15.8392414;-56.19344857;21.77634194
V2R3;Turaco;87.26083077;40.91722222;-11.24277778;15.86888889;-17.31493895;-54.68309364;19.44792243
V3R1;Cande;88.66626433;37.89;-9.793333333;12.77111111;-20.23845;-52.51762841;16.09380803
V3R2;Cande;88.85314581;37.82777778;-10.30277778;12.70222222;-21.44192621;-50.95435776;16.355234
V3R3;Cande;87.72294677;38.18;-9.892777778;12.63444444;-20.50813556;-51.93891265;16.04668933
V4R1;Siena;90.86612963;37.75611111;-11.2;14.08388889;-21.06241556;-51.50693431;17.99433039
V4R2;Siena;90.71823835;38.48388889;-10.81777778;13.97166667;-20.11920834;-52.25049929;17.67008165
V4R3;Siena;90.67203995;38.06;-10.35611111;13.25277778;-20.53151523;-51.99476105;16.81919012
V5R1;Rembrandt;91.96108229;38.06166667;-11.50777778;14.68166667;-20.59341188;-51.90983532;18.65422969
V5R2;Rembrandt;91.13587228;36.40166667;-10.44388889;13.18722222;-21.7564308;-51.62169965;16.8219394
V5R3;Rembrandt;92.52267514;37.18888889;-10.86444444;13.81666667;-21.1441894;-51.82088518;17.57658758
V6R1;Modi;90.65751368;36.86111111;-10.71666667;13.43555556;-21.63892449;-51.42279858;17.18607278
V6R2;Modi;89.21126808;37.78555556;-11.16388889;14.51444444;-20.3558516;-52.43393505;18.31124006
V6R3;Modi;91.12509557;37.19388889;-11.12888889;14.63722222;-20.44191371;-52.75363073;18.38750778
V7R1;Guille;86.48386157;36.57277778;-6.779444444;9.322777778;-19.88340812;-53.97554572;11.52714416
V7R2;Guille;86.40416908;35.71888889;-6.208333333;8.012222222;-21.69322395;-52.22928208;10.13603018
V7R3;Guille;84.77717357;36.185;-6.502222222;8.8;-20.4197565;-53.53959148;10.94161294
V8R1;Bison;87.29136602;39.435;-10.91388889;14.865;-18.617989;-53.71374428;18.44129051
V8R2;Bison;89.18281878;38.88833333;-12.01055556;16.42444444;-18.80412274;-53.82332568;20.3473787
V8R3;Bison;87.47049989;38.10333333;-10.915;14.78788889;-19.37111374;-53.56869149;18.37984991
V9R1;FE_021;88.83586727;38.83;-10.22944444;13.64555556;-19.3060504;-53.14267008;17.05411153
V9R2;FE_021;89.44059099;38.35888889;-12.69888889;17.64222222;-18.764907;-54.25349637;21.73729017
V9R3;FE_021;88.21815326;37.67666667;-9.405;12.46888889;-20.01974641;-52.97345418;15.61816939
V10R1;FE_018;85.28003331;37.265;-5.621666667;9.463888889;-15.94022079;-59.28902746;11.00764866
V10R2;FE_018;87.41618331;37.30611111;-5.561666667;9.498333333;-15.69558728;-59.6491243;11.00683752
V10R3;FE_018;86.0565137;37.13944444;-5.577777778;9.476111111;-15.84877356;-59.51817083;10.99583042
V11R1;Nanna;88.57263758;36.74944444;-9.121666667;12.06555556;-20.57198012;-52.91027342;15.12555565
V11R2;Nanna;90.13854461;38.02;-9.775555556;13.145;-19.55999526;-53.36276274;16.38146854
V11R3;Nanna;88.88683295;37.03166667;-9.182222222;12.04055556;-20.59339808;-52.67044894;15.14226479
V12R1;Holler;86.93516699;33.80388889;-4.767222222;7.095;-19.87679376;-56.10220504;8.547832048
V12R2;Holler;86.56313902;34.32222222;-5.121111111;7.681111111;-19.42516661;-56.3078882;9.231752104
V12R3;Holler;86.66328834;35.02222222;-5.131111111;7.907222222;-18.52864991;-57.01974304;9.426158523
