ID;TRATAMIENTO;Angular Second moment;Contrast;correlation;Inverse difference moment;entropy
FLO R1;FLOBIS;0.009443;81379;0.0004868;0.602;5.7855
FLO R2;FLOBIS;0.01022;21341;0.003592;0.6038;5.2943
FLO R3;FLOBIS;0.005853;38595;0.0006334;0.6473;5.8574
FLO R4;FLOBIS;0.01317;104433;0.001564;0.6727;5.2163
FLO R5;FLOBIS;0.004759;108236;0.0006233;0.5277;6.3772
E47 R1;E47BIS;0.01349;18522;0.01218;0.5997;4.7869
E47 R2;E47BIS;0.008518;1885;0.01901;0.5894;5.0911
E47 R3;E47BIS;0.00548;3231;0.0005889;0.6227;5.9148
E47 R4;E47BIS;0.01066;139749;0.001266;0.6303;5.5913
E47 R5;E47BIS;0.005074;70175;0.0007089;0.5503;6.2267
ECO R1;ECOBIS;0.01418;18554;0.0471;0.5981;4.5927
ECO R2;ECOBIS;0.008705;18954;0.01975;0.5888;5.0757
ECO R3;ECOBIS;0.005927;33122;0.0006556;0.6284;5.8317
ECO R4;ECOBIS;0.01115;144057;0.001124;0.6276;5.5472
ECO R5;ECOBIS;0.004378;74681;0.0005875;0.5562;6.31
