instituciones;Hpre;Hcom;Hinter;TrCam;Oact;CaFun;SoCap;Inv_f;SoInv;Ges_f;SoGe;CrVeg;CrNca;CrAIn
9001;579;87;126;34;87;0;234;0;152;0;108;351;0;54
9002;949;239;263;178;340;233;108;194;0;121;0;725;118;130
9003;827;55;223;0;42;86;528;0;93;74;12;294;100;24
9004;796;159;129;0;0;0;625;0;186;2;38;283;55;0
9005;202;26;14;30;12;0;20;0;82;0;0;90;40;0
9006;1299;154;56;0;0;352;82;175;0;79;0;236;86;0
9007;572;69;33;17;171;0;34;0;0;0;130;121;155;177
9008;405;0;0;15;37;0;6;0;15;20;18;40;0;0
9010;371;0;0;74;42;53;6;43;6;90;0;153;73;110
9011;448;105;37;27;37;0;62;0;62;0;72;344;64;100
9012;150;31;9;2;44;0;2;0;0;0;0;0;0;0
9013;704;0;0;0;0;0;0;0;19;0;60;317;197;200
9014;448;100;12;0;32;0;0;0;32;0;42;150;0;44
9016;1415;162;6;128;218;31;8;0;56;14;0;79;56;0
9017;208;0;0;53;89;0;0;12;0;12;0;0;0;48
