"";"C1";"C2";"C3";"C4";"C5";"C6"
"Alabama";6,16095588289682e-11;0,000102702564619655;0,230066298993809;0,692569324205198;0,00280163803484848;1,52299797447126e-08
"Alaska";3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06;1,03996221549104e-12
"Arizona";1,92874984796392e-22;1,03996221549104e-12;7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899
"Arkansas";8,11853834914405e-08;0,00716336447091922;0,849365816568312;0,135335283236613;2,89778274286711e-05;8,33794709420116e-12
"California";8,40286902378376e-30;2,57675710915498e-18;1,06183711019379e-09;0,000588004762737889;0,437564737700269;0,437564737700269
"Colorado";3,22396988424991e-21;8,33794709420116e-12;2,89778274286711e-05;0,135335283236613;0,849365816568312;0,00716336447091922
"Connecticut";1,27836179542254e-20;2,28973484564555e-11;5,51131370105247e-05;0,178263979585048;0,774837428883249;0,00452580786676672
"Delaware";9,22615031895558e-18;2,63310509991425e-09;0,00100984423411268;0,520450121020702;0,360447788597821;0,000335462627902512
"Florida";1,92874984796392e-22;1,03996221549104e-12;7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899
"Georgia";8,33794709420116e-12;2,89778274286711e-05;0,135335283236613;0,849365816568312;0,00716336447091922;8,11853834914405e-08
"Hawaii";2,42175191832845e-24;3,93080548596586e-14;8,57377302933679e-07;0,0251304889852744;0,989847803378734;0,0523931410698256
"Idaho";2,63310509991425e-09;0,00100984423411268;0,520450121020702;0,360447788597821;0,000335462627902512;4,19550701873582e-10
"Illinois";2,42175191832845e-24;3,93080548596586e-14;8,57377302933679e-07;0,0251304889852744;0,989847803378734;0,0523931410698256
"Indiana";3,93080548596586e-14;8,57377302933679e-07;0,0251304889852744;0,989847803378734;0,0523931410698256;3,72665317207867e-06
"Iowa";1,62423121181012e-10;0,000187518574574838;0,290923807046148;0,606530659712633;0,00169927936555266;6,3975742697705e-09
"Kansas";1,26641655490942e-14;3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06
"Kentucky";1,52299797447126e-08;0,00280163803484848;0,692569324205198;0,230066298993809;0,000102702564619655;6,16095588289682e-11
"Louisiana";1,26641655490942e-14;3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06
"Maine";3,55238610325279e-08;0,00452580786676672;0,774837428883249;0,178263979585048;5,51131370105247e-05;2,28973484564555e-11
"Maryland";3,99768390799821e-15;1,81790999657075e-07;0,0111089965382423;0,912254076828545;0,100668899772898;1,49284032988045e-05
"Massachusetts";1,18136215479586e-25;3,99768390799821e-15;1,81790999657075e-07;0,0111089965382423;0,912254076828545;0,100668899772898
"Michigan";7,05120412096467e-19;4,19550701873582e-10;0,000335462627902512;0,360447788597821;0,520450121020702;0,00100984423411268
"Minnesota";1,26641655490942e-14;3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06
"Mississippi";7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899;3,98844636715367e-07;1,26641655490942e-14
"Missouri";1,11256438812941e-16;1,52299797447126e-08;0,00280163803484848;0,692569324205198;0,230066298993809;0,000102702564619655
"Montana";6,3975742697705e-09;0,00169927936555266;0,606530659712633;0,290923807046148;0,000187518574574838;1,62423121181012e-10
"Nebraska";1,03996221549104e-12;7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899;3,98844636715367e-07
"Nevada";4,57534281728002e-23;3,56206667390019e-13;3,72665317207867e-06;0,0523931410698256;0,989847803378734;0,0251304889852744
"New Hampshire";4,19550701873582e-10;0,000335462627902512;0,360447788597821;0,520450121020702;0,00100984423411268;2,63310509991425e-09
"New Jersey";2,20055397271382e-28;3,23671467378578e-17;6,3975742697705e-09;0,00169927936555266;0,606530659712633;0,290923807046148
"New Mexico";1,11256438812941e-16;1,52299797447126e-08;0,00280163803484848;0,692569324205198;0,230066298993809;0,000102702564619655
"New York";2,53055060030573e-26;1,23645174614137e-15;8,11853834914405e-08;0,00716336447091922;0,849365816568312;0,135335283236613
"North Carolina";3,72665317207867e-06;0,0523931410698256;0,989847803378734;0,0251304889852744;8,57377302933679e-07;3,93080548596586e-14
"North Dakota";7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899;3,98844636715367e-07;1,26641655490942e-14
"Ohio";1,89055770759703e-19;1,62423121181012e-10;0,000187518574574838;0,290923807046148;0,606530659712633;0,00169927936555266
"Oklahoma";1,23645174614137e-15;8,11853834914405e-08;0,00716336447091922;0,849365816568312;0,135335283236613;2,89778274286711e-05
"Oregon";3,99768390799821e-15;1,81790999657075e-07;0,0111089965382423;0,912254076828545;0,100668899772898;1,49284032988045e-05
"Pennsylvania";9,22615031895558e-18;2,63310509991425e-09;0,00100984423411268;0,520450121020702;0,360447788597821;0,000335462627902512
"Rhode Island";5,3110922496791e-27;3,74699177469906e-16;3,55238610325279e-08;0,00452580786676672;0,774837428883249;0,178263979585048
"South Carolina";3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06;1,03996221549104e-12
"South Dakota";3,72665317207867e-06;0,0523931410698256;0,989847803378734;0,0251304889852744;8,57377302933679e-07;3,93080548596586e-14
"Tennessee";2,28973484564555e-11;5,51131370105247e-05;0,178263979585048;0,774837428883249;0,00452580786676672;3,55238610325279e-08
"Texas";1,92874984796392e-22;1,03996221549104e-12;7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899
"Utah";1,92874984796392e-22;1,03996221549104e-12;7,53525136078292e-06;0,0733696513683829;0,960005441285478;0,0168798841487899
"Vermont";0,00716336447091922;0,849365816568312;0,135335283236613;2,89778274286711e-05;8,33794709420116e-12;3,22396988424991e-21
"Virginia";3,56206667390019e-13;3,72665317207867e-06;0,0523931410698256;0,989847803378734;0,0251304889852744;8,57377302933679e-07
"Washington";2,57675710915498e-18;1,06183711019379e-09;0,000588004762737889;0,437564737700269;0,437564737700269;0,000588004762737889
"West Virginia";0,000187518574574838;0,290923807046148;0,606530659712633;0,00169927936555266;6,3975742697705e-09;3,23671467378578e-17
"Wisconsin";1,26641655490942e-14;3,98844636715367e-07;0,0168798841487899;0,960005441285478;0,0733696513683829;7,53525136078292e-06
"Wyoming";8,33794709420116e-12;2,89778274286711e-05;0,135335283236613;0,849365816568312;0,00716336447091922;8,11853834914405e-08
